"BranchOrSource","Product","Evidence","Confidence","Note"
"Temp/candy-v1.0.0.zip","Candy","zip file name and src/Candy.*","high","latest distribution zip"
"Temp/TreeDragon-v1.0.0.zip","TreeDragon","zip root and src/MCTreeDragon.blend","high","latest distribution zip"
"catchy-lp","Catchy",".env AVATER_ASSET_DIR=CatchyLp, src/CatchyLp.*","medium","LP suffix treated as variant/build suffix"
"iris","Iris",".env AVATER_ASSET_DIR=Iris, README mentions AvaterPrefab/Iris","high",""
"jack-o-nyantan-2022","Nyantan","BOOTH title is にゃんたん; Assets/Mushus/Nyantan exists; package.json config.avater.name=JackONyantan","high","normalized public product name from JackONyantan/Nyantan2022"
"Products/Soni","Soni","BOOTH item 7582725 is published; existing Unity package Assets/Mushus/Soni and Products/Soni","high","added to Products2 from existing Products after BOOTH confirmation"
"Products/Krona","Krona","BOOTH item 7461411 is published; existing Unity package Assets/Mushus/Krona and Products/Krona","high","added to Products2 from existing Products after BOOTH confirmation"
"mocha","Mocha","package.json config.avater.name=mocha, .env AVATER_ASSET_DIR=Mocha","high","normalized casing"
"neneko","NozakiNeneko","existing Unity package Assets/Mushus/NozakiNeneko, branch/package says neneko/Neko","medium","branch name and asset dir differ; kept known product/package folder name"
"red-dragon-lp","RedDragon",".env AVATER_ASSET_DIR=RedDragon, src/RedDragonLp.*","high","LP suffix treated as variant/build suffix"
"reptan","Reptan","branch name reptan, existing Products/Reptan; .env says Orca and src/Orca.*","medium","asset/model name differs from likely product name"
"tora","Mizore","package.json config.avater.name=Mizore, config.unity.package=Tora","high","renamed from temporary Tora"
"usa","Shiromaru","package.json config.avater.name=Shiromaru","high","branch name differs"
"whip-lp","WhipLowPoly",".env AVATER_ASSET_DIR=WhipLp, existing product folder WhipLowPoly","medium","LP expanded to LowPoly based on existing product name"
"windra-lp","Windra",".env AVATER_ASSET_DIR=Windra, src/WindraLp.*","high","LP suffix treated as variant/build suffix"
"wip","(not created)",".env/README match Iris rather than a separate product","high","excluded as duplicate/work-in-progress branch"
