"Package","Files","Bytes","Fbx","Prefabs","Scenes","Materials","LastWrite"
"Betty","6","151322","256fes.fbx","","","1","2020/05/16 20:14:21"
"BettyDev","3","11062","","","betty.unity","0","2026/05/15 9:12:50"
"CactusBunny","13","10248387","CactusBunny.fbx","","","2","2020/12/16 23:11:12"
"CactusBunnyDev","3","19146","","","SampleScene.unity","0","2026/05/15 9:12:51"
"Calop","8","4090408","Calop.fbx","","SampleScene.unity","1","2025/11/25 23:11:14"
"Candy","144","28204019","Candy.fbx","Candy.prefab","SampleScene.unity","1","2024/06/09 21:26:36"
"CandyDev","9","50437","","","SampleScene.unity","0","2026/05/15 0:38:24"
"CandyDevFromDra_Backup_20260515003755","10","169988","","","SampleScene 1.unity; SampleScene 2.unity; SampleScene 3.unity; SampleScene.unity","0","2026/05/14 23:29:31"
"CandyFromDra_Backup_20260515003755","38","58554167","dra.fbx","","","9","2026/05/15 0:05:25"
"Capture","3","2579","","Directional Light.prefab","","0","2026/05/14 23:24:29"
"CaptureDev","4","8694","","","SampleScene.unity","0","2026/05/14 23:30:04"
"Catchy","33","584197","CatchyLp.fbx; CatchyLpQuest.fbx","AvaterPrefab.prefab; AvaterQuestPrefab.prefab","","2","2026/05/15 0:24:52"
"CatchyDev","10","27428","","AvaterPrefabSample.prefab; AvaterQuestPrefabSample.prefab","SampleQuestScene.unity; SampleScene.unity","0","2026/05/14 23:25:38"
"CharaCreator","4","688","","","","0","2026/05/15 0:05:25"
"CharaCreatorDev","4","68509776","","","TestScene.unity","0","2026/05/14 23:29:31"
"CharaCreatorV0","27","87180","","","","0","2026/05/14 0:53:39"
"CharaCreatorV0Dev","4","8694","","","SampleScene.unity","0","2026/05/14 23:30:04"
"CosmicDragon","55","811628","Bomb1.fbx; Burst.fbx; dragon.fbx; Mag.fbx","","","6","2026/05/14 23:47:47"
"CosmicDragonDev","6","973943","","","Test.unity; testScheme.unity","0","2026/05/14 23:29:31"
"Cynthea","48","6563062","Cynthea.fbx","","","2","2020/12/19 13:20:00"
"CyntheaDev","3","18903","","","Cynthea.unity","0","2026/05/15 9:12:51"
"DragonCharaCreator","93","7089505","Arm001Left.fbx; Arm001Right.fbx; Body001.fbx; Fillet001.fbx; Fillet002.fbx; Fillet003.fbx; Head001.fbx; Horn001.fbx; Horn002.fbx; Horn003.fbx; Tail001.fbx; Wing001.fbx","","","1","2026/05/14 23:47:47"
"DragonCharaCreatorDev","4","8694","","","SampleScene.unity","0","2026/05/14 23:30:05"
"Iris","156","11693137","Iris.fbx","AvaterPrefab.prefab","","9","2026/05/15 0:05:25"
"IrisDev","6","14092","","AvaterPrefabSample.prefab","SampleScene.unity","0","2026/05/14 23:25:38"
"Krona","95","18157457","Krona.fbx","Krona.prefab","SampleScene.unity","2","2026/05/15 8:37:19"
"KronaDev","4","41717","","","Capture.unity; SampleAvater.unity","0","2026/05/15 8:37:19"
"Mizore","166","21490417","Tora.fbx","ToraAvater.prefab","","5","2026/05/15 0:05:25"
"MizoreDev","24","2204353","Tora.fbx","ToraVariant.prefab","SampleAvaterData.unity; SampleScene.unity","1","2026/05/15 0:24:46"
"Mocha","116","21273368","Mocha.fbx","Mocha.prefab","","3","2026/05/15 0:05:25"
"MochaDev","11","76063","","MochaSample.prefab","SampleScene.unity","0","2026/05/15 0:24:46"
"NozakiNeneko","188","25269568","Neko.fbx","NekoAvater.prefab","","5","2026/05/15 0:05:25"
"NozakiNenekoDev","11","215463","","NekoAvaterSample.prefab","SampleScene.unity","0","2026/05/15 0:24:46"
"Nyantan","97","10085316","JackONyantan.fbx; JackONyantanPumpkin.fbx","JackONyantan.prefab; JackONyantanPumpkin.prefab","","4","2026/05/15 0:05:25"
"NyantanDev","14","194620","","JackONyantanPumpkinSample.prefab; JackONyantanSample.prefab","SampleAvater.unity; SampleScene 1.unity; SampleScene 2.unity; SampleScene.unity","0","2026/05/14 23:25:38"
"Pumpkin","6","257913","Pumpkin.fbx","","","1","2025/10/25 16:21:49"
"RedDragon","27","883843","RedDragon.fbx","AvaterPrefab.prefab","","1","2026/05/15 0:05:25"
"RedDragonDev","6","21817","","AvaterPrefabSample.prefab","SampleScene.unity","0","2026/05/14 23:25:39"
"Reptan","179","10634586","Orca.fbx; OrcaAnim.fbx; Orca.fbx","OrcaQuestVariant.prefab; OrcaVariant.prefab","","6","2026/05/15 0:05:25"
"ReptanDev","13","343171","","OrcaQuestVariantSample.prefab; OrcaVariantSample.prefab","SampleScene 1.unity; SampleScene.unity","0","2026/05/14 23:29:31"
"ReptanV0","32","2296102","Orca.fbx","","","4","2026/05/14 23:47:47"
"ReptanV0Dev","4","55737","","","SampleScene.unity","0","2026/05/14 23:29:31"
"SexyDicon","13","12642704","SexyDicon.fbx","","","1","2020/10/18 16:31:25"
"SexyDiconDev","3","14851","","","SampleScene.unity","0","2026/05/15 9:12:52"
"Shiro","47","8830212","Shiro.fbx","","","2","2020/12/20 11:59:34"
"ShiroDev","3","20578","","","SampleScene.unity","0","2026/05/15 9:12:51"
"Shiromaru","186","12866786","Shiromaru.fbx","ShiromaruAvater.prefab; ShiromaruQuest.prefab","","2","2026/05/15 0:05:25"
"ShiromaruDev","15","177892","","ShiromaruAvaterSample.prefab; ShiromaruQuestSample.prefab","SampleScene.unity; SampleSceneQuest.unity","0","2026/05/15 0:24:46"
"Soni","66","4763851","Bat.fbx","Bat.prefab; BatWithPumpkin.prefab","SampleScene.unity","1","2026/05/15 1:16:38"
"SoniDev","13","367266","","","DevScene.unity; SampleScene.unity","0","2026/05/15 1:19:53"
"StylishDragon","46","8268404","dd.fbx","","","8","2026/05/15 0:05:25"
"StylishDragonDev","6","48852","","","SampleScene 1.unity; SampleScene.unity","0","2026/05/14 23:29:31"
"SweetsDragon","83","41794491","SweetsDragon.fbx","","","4","2023/01/28 1:36:35"
"SweetsDragonDev","3","32656","","","SampleScene.unity","0","2026/05/15 9:12:52"
"TreeDragon","121","7517320","MCTreeDragon.fbx","","SampleScene.unity","1","2025/12/18 1:30:07"
"TreeDragonDev","12","731067","","","dev.unity; SampleScene.unity","0","2026/05/15 1:15:51"
"WhipLowPoly","27","426749","WhipLp.fbx","AvaterPrefab.prefab","","1","2026/05/15 0:05:25"
"WhipLowPolyDev","6","14280","","AvaterPrefabSample.prefab","SampleScene.unity","0","2026/05/14 23:25:39"
"WhippedCream","76","12489036","WhippedCream.fbx","","","2","2020/12/17 1:02:57"
"WhippedCreamDev","3","19514","","","SampleScene.unity","0","2026/05/15 9:12:52"
"Windra","27","326564","WindraLp.fbx","AvaterPrefab.prefab","","1","2026/05/15 0:05:25"
"WindraDev","6","13479","","AvaterPrefabSample.prefab","SampleScene.unity","0","2026/05/14 23:25:39"
"Yuki","22","13083592","2022-03-21.fbx","","","4","2026/05/15 0:05:25"
"YukiDev","4","19598","","","SampleScene.unity","0","2026/05/14 23:29:31"
